id,createdAt,updatedAt,link,companyId,title,locationChoice,locationOther,location,payType,payMin,payMax,payMidpoint,priority,datePosted,deadlineChoice,deadline,appliedStatus,appliedDate,applicationStatus,lastHeardFrom,responseStatus,responseDate,screenStatus,screenDate,interviewStatus,interviewDate,assessmentStatus,assessmentDate,finalStatus,finalStatusDate,applicationNeeds,referenceCount,jobLevel,favoriteJob,jobTypes,roles,roleOther,descriptionFilename,descriptionLength
dd79d51e-3a56-43cb-97e2-96aaf02b7b6a,2026-09-10T05:51:59.036Z,2026-09-10T05:52:07.810Z,,7824f226-18cb-42bc-8776-a40577f1d554,Geospatial Data Operations Specialist,"Missoula, MT",,"Missoula, MT",Hourly,25.75,,,Urgent,2026-04-16,Blank,,Yes,2026-04-22,Ghosted,2026-05-18,Yes,2026-05-01,Yes,2026-05-08,Yes,2026-05-18,No,,Ghosted,,Resume; Cover Letter,,Jr,TRUE,Full-time,Imagery Analyst,,,0
c71763ae-7f17-4118-9688-74dc10a4aab1,2026-09-10T05:46:25.708Z,2026-09-10T05:46:40.778Z,,819b6841-07a0-432a-929d-7ee055ea7297,GIS Specialist and Data Specialist for FEWS NET 8 Knowledge Base,Other,"Washington, DC","Washington, DC",Salary,105000,115000,110000,Urgent,2024-11-04,Select Date,2024-11-18,Yes,2024-11-08,Ghosted,,No,,No,,No,,No,,Ghosted,,CV; Cover Letter,,Mid,TRUE,Full-time,Geospatial Analyst,,chemonics-gis-specialist-and-data-specialist-for-few-c71763ae.txt,8642
3f4c9b33-163e-436d-ba46-d42dab451f53,2026-09-09T10:17:03.849Z,2026-09-09T10:17:03.849Z,https://www.linkedin.com/jobs/view/4361578007/,a1ee3fe5-69b4-4eb2-8516-0d43577d74e4,Sr. GIS Specialist,Other,DMV,DMV,,,,,High,2026-01-01,Blank,,Yes,2026-03-01,Ghosted,,No,,No,,No,,No,,Ghosted,,Resume,,Sr,FALSE,Full-time,Geospatial Analyst,,chartis-federal-sr-gis-specialist-3f4c9b33.txt,3237
40f1ce1e-78be-490c-8bd7-ed8ae95b880d,2026-09-09T10:09:24.250Z,2026-09-09T10:09:24.250Z,https://www.linkedin.com/jobs/view/4345967738/,2a5c3346-ecaf-470b-8d30-5a030989615a,Data Governance Analyst,Other,"Denver, CO","Denver, CO",Hourly,38,46,42,Low,2026-01-01,Blank,,Yes,2026-02-01,Ghosted,,No,,No,,No,,No,,Ghosted,,Resume,,Mid,FALSE,Full-time,Data Governance,,kelly-mitchell-group-data-governance-analyst-40f1ce1e.txt,1832
34399f9e-ef7c-4be8-a377-d0a1e06b5d74,2026-09-09T10:03:56.400Z,2026-09-09T10:03:56.400Z,https://www.linkedin.com/jobs/view/4362634667/,c0e57801-2dbf-4540-8fee-982010e645d6,Redistricting & Mapping Specialist I,Other,"Austin, TX","Austin, TX",Salary,55008,,,Medium,2026-01-09,Blank,,Yes,2026-02-01,Ghosted,,No,,No,,No,,No,,Ghosted,,Resume,,Jr,TRUE,Full-time,Geospatial Analyst,,texas-legislative-council-redistricting-mapping-specialist-i-34399f9e.txt,4209
b2336ecc-0fac-4fca-b73d-d542595cca1d,2026-09-09T09:58:54.193Z,2026-09-09T09:58:54.193Z,https://www.linkedin.com/jobs/view/4351980743/,b8000b16-cc56-49e7-92b9-284f25c6ba60,Seasonal GIS Analyst,Other,"Minneapolis, MN","Minneapolis, MN",Hourly,23,24,23.5,Medium,2026-01-01,Blank,,Yes,2026-02-01,Ghosted,,No,,No,,No,,No,,Ghosted,,Resume,,Jr,FALSE,Full-time,Geospatial Analyst,,john-deere-seasonal-gis-analyst-b2336ecc.txt,3223
8e638cb8-14b4-4457-9de6-31f77805abfc,2026-08-22T06:10:36.222Z,2026-09-09T08:48:39.508Z,https://www.linkedin.com/jobs/view/4454415032/,72a3f2ee-d979-4fdf-81cf-9c94a3eead53,Founder Operations Associate,"Missoula, MT",,"Missoula, MT",,,,,Low,2026-08-18,Blank,,Yes,2026-08-21,Ghosted,,No,,No,,No,,No,,Ghosted,,Resume,,Jr,FALSE,Full-time,Ops / Mgmt,,stepranger-founder-operations-associate-8e638cb8.txt,5167
e451fd82-2754-46e0-9e7b-67b685413930,2026-09-09T08:45:25.931Z,2026-09-09T08:46:54.603Z,https://www.linkedin.com/jobs/view/4348186945/,6322b19b-017c-4e09-b7fc-6c95323a8db5,Junior Open Source Intelligence Analyst,Other,"San Francisco, CA","San Francisco, CA",Salary,65000,75000,70000,Medium,,Blank,,Yes,2025-11-01,Ghosted,,No,,No,,No,,No,,Ghosted,,,,Jr,FALSE,Full-time,Geopolitical Risk,,control-risks-junior-open-source-intelligence-analyst-e451fd82.txt,5078
cea1a290-0f44-4964-8b76-82be434ab28a,2026-08-22T06:20:02.894Z,2026-09-09T08:45:44.571Z,https://www.linkedin.com/jobs/view/4426884048/,eec6f02a-190a-4202-9588-d2b39f871bad,Geospatial Analyst,Other,DMV,DMV,,,,,Medium,2026-06-22,Blank,,Yes,2026-06-22,Ghosted,,No,,No,,No,,No,,Ghosted,,Resume,,Jr,TRUE,Full-time,Imagery Analyst,,geo-owl-geospatial-analyst-cea1a290.txt,7667
8e363c5d-1b8d-4ebf-9d9e-7624ffdd8172,2026-09-09T08:39:58.987Z,2026-09-09T08:45:34.397Z,https://www.linkedin.com/jobs/view/4292178226/,715b751c-1783-4e84-bfd1-69fe0902216c,Geospatial Analyst,Other,DMV,DMV,Salary,80000,90000,85000,Medium,,Blank,,Yes,2025-10-01,Ghosted,,No,,No,,No,,No,,Ghosted,,Resume,,Jr,FALSE,Full-time,Intelligence,,mission-essential-geospatial-analyst-8e363c5d.txt,2230
